$document group,$document name,ID,$site,$Country,date,general role,4.2a) Who are your main supplier of octopus?  [denoted for Supplier 1],"main supplier is a fisher? (1 is yes, 0 is no)",location biggest? and smallest? [Supplier 1],Gender [Supplier 1],4.2b) how many of each of these types of supplier do you work with?)  [Supplier 1],Average number of suppliers (calculated from averaging 4.2b),4.2c) Have you worked with them for long? [Supplier 1],Average number of years worked together,4.2d Kaz Quality [Supplier 1],4.2d kaz Quantity [Supplier 1],4.2d kaz price/kg [Supplier 1],4.2d kaz price/kg [Supplier 1] EDITED in KES or TSH depending on country,Calculated profit margin per kg in home country currency,Calculated profit margin per kg in USD during Kazi using the conversion rates 2241.6882771832 and 103.1033080415,4.2d kaz week/month [Supplier 1],Calculated average Kazi quantity in kg per month [Supplier 1] ,Calculated average Kazi Season quantity in kg Supplier 1 (per month *6),Calculated average Kazi  Season quantity in kg Supplier 1 (per month *6) in metric tonnes,Calculated per Kazi Season gross profit earned from Supplier 1. (Profit margin for Kazi from Supplier 1 in their home country currency * kg quantity from Supplier 1 per Kazi season),4.2d Kusi Quality [Supplier 1],4.2d kusi Quantity [Supplier 1],4.2d kusi price/kg [Supplier 1],4.2d kusi price [Supplier 1] EDITED in TNZ or KES depending on country,KUSI/KG CALCULATED PROFIT MARGIN FOR SUPPLIER 1 in home country currency : average kusi selling price/kg- average buying price/kg,4.2d kusi week/month [Supplier 1],Calculated average Kusi quantity in kg per month [Supplier 1],Calculated average Kusi Season quantity in kg [Supplier 1] (per month *6),Calculated average Kusi Season quantity in kg [Supplier 1] (per month *6) in metric tonnes,Calculated PER KUSI Season GROSS PROFIT EARNED FROM SUPPLIER 1: (PROFIT MARGIN/KG*KG QUANTITY PER KUSI),4.2a) Who are your 2nd main supplier of octopus?  *Denoted as supplier 2,2nd main supplier edited,For supplier 2: location biggest? and smallest?,For supplier 2: Gender,For supplier 2:  4.2b) how many of each of these types of supplier do you work with?) ,Total number of fishers supplying interviewee (calculated from supplier 1 and 2),Total number of traders supplying interviewee (calculated supplier 1 and 2),Total number of suppliers main and secondary (as calculated),For supplier 2: 4.2c) Have you worked with them for long?,For supplier 2:  4.2d )Kaz Quality,For supplier 2: 4.2d kazi Quantity,For supplier 2: 4.2d) kaz price/kg,For supplier 2: 4.2d) kaz price/kg EDITED,KAZI/KG CALCULATED PROFIT MARGIN FOR SUPPLIER 2: in home country currency  (average kazi selling price/kg- average buying price/kg),For supplier 2: 4.2d) kaz week/month,Calculated average Kazi quantity in kg per month [Supplier 2],Calculated average Kazi  Season quantity in kg  [Supplier 2] *6 months,Calculated average Kazi Season quantity in kg  [Supplier 2] *6 months in metric tonnes,Calculated PER KAZI Season GROSS PROFIT EARNED FROM SUPPLIER 2: (PROFIT MARGIN/KG*KG QUANTITY PER KAZI,For supplier 2: 4.2d) Kusi Quality,For supplier 2: 4.2d) kusi Quantity,For supplier 2:  4.2d) kusi price/kg,For supplier 2:  4.2d) kusi price/kg EDITED,Kusi/KG CALCULATED PROFIT MARGIN FOR SUPPLIER 2 in home country currency : average kusi selling price/kg- average buying price/kg,For supplier 2:  4.2d) kusi week/month,Calculated average Kusi quantity in kg per month [Supplier 2],Calculated average Kusi Season quantity in kg per KUSI [Supplier 2] *6 months,Calculated average Kusi Season quantity in kg per month [Supplier 2] *6 months in metric tonnes,Calculated PER KUSI Season GROSS PROFIT EARNED FROM SUPPLIER 2: (PROFIT MARGIN/KG*KG QUANTITY PER KUSI),Calculated TOTAL PER KAZI Season GROSS PROFIT in home country currency EARNED FROM SUPPLIER 1& 2,Calculated TOTAL PER KUSI Season GROSS PROFIT in home country currency EARNED FROM SUPPLIER 1& 2,TOTAL KUSI Season GROSS PROFIT IS WHAT PROPORTION OF KAZI Season GROSS PROFIT (total kusi gross profit/total kazi gross profit),CALCULATED YEARLY GROSS PROFIT (TOTAL KAZI SEASON GROSS PROFIT +TOTAL KUSI SEASON GROSS PROFIT) in TZS or KES depending on country,Calculated Kazi season gross profit USD,Calculated Kusi season gross profit USD, CALCULATED YEARLY GROSS PROFIT (TOTAL KAZI SEASON GROSS PROFIT +TOTAL KUSI SEASON GROSS PROFIT) in USD using SEPT conversion rates of 2241.6882771832 and 103.1033080415 ,CALCULATED YEARLY QUANTITY TRADED BY RESPONDENT: (Quantity from supplier 1 and 2/Kazi +Quantity supplier 1 and 2/Kusi) in metric tonnes,5.1a main buyers-domestic,"5.1b octopus product type wanted (** for interviewees this is all fresh) There is a dry local market but at different locations.- none going for export.  We heard of it and observed but did not get into it (the mzungu initial starting price is 20,000 TSH per dry octopus)",5.1c kaz quality,5.1c kaz quantity,5.1c kaz week/month,5.1c kaz price/kg,5.1c Kazi Buying price/kg in home country currency EDITED (used for profit margin calculations),5.1c kusi quality,5.1c kusi price/kg,5.1c kusi Buying price/kg in home country currency EDITED (used for profit margin calculations)
Large-scale trader,OT/MTW/08092017/2,P18,Mtwara,Tanzania,8/9/17,Octopus trader,traders,0,Mozambique,male,5,5,1,1,fresh,300-500kg,3000Tsh,3000,1800,0.80,week,1600,9600,9.6,17280000,Fresh,200-250kg,4000-4200Tsh,4100,700,week,900,5400,5.4,3780000,Traders,traders,Namponda & Nemwala,m,2,0,7,7,3 yrs,fresh,300kg,3500Tsh,3500,1300,week,1200,7200,7.2,9360000,fresh,0-60kg,3500Tsh,3500,1300,week,120,720,0.72,936000,26640000,4716000,18%,31356000," $11,883.90 "," $2,103.77 "," $13,987.67 ",22.92,Consumers and Small scale Traders (fryers),big octopus,fresh,,,Consumers -5000Tsh. s.c. traders - 4500-4700Tsh.,4800,fresh,Consumers -5000Tsh. s.c. traders - 4500-4700Tsh.,4800
Large-scale trader,OT/MTW/08092017/1,P19,Mtwara,Tanzania,8/9/17,Octopus trader,traders,0,Mtwara and Mozambique,male,2,2,1.5 yrs,1.5,fresh,800kg,4500-4800Tsh,4650,1350,0.60,week,3200,19200,19.2,25920000,fresh,70kg,4500-4800Tsh,4650,1850,week,280,1680,1.68,3108000,,none,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,25920000,3108000,12%,29028000," $11,562.71 "," $1,386.46 "," $12,949.17 ",20.88,Traders in Dar es salaam,big octopus,fresh,800kg/wk,week,6000Tsh,6000,fresh,6500Tsh,6500
Large-scale trader,OT/MTW/09092017/2,P20,Mtwara,Tanzania,9/9/17,Octopus trader,traders,0,Mtwara,male,3,3,1 yrs,1,fresh,150kg,4200-5000tsh,4350,900,0.40,week,600,3600,3.6,3240000,Fresh,30kg,5000Tsh,5000,250,week,120,720,0.72,180000,,none,,,,0,3,3,,,,,,,,,,,,,,,,,,,,,,3240000,180000,6%,3420000," $1,445.34 ", $80.30 ," $1,525.64 ",4.32,Traders in Dar es salaam(more) and Mtwara(less),big octopus,fresh,,week,Dar - 5000-6000Tsh. Mtw -5000Tsh.,5250,fresh,"Dar -6500Tsh
.Mtwara - 5500Tsh
",5250
Company agent,OA/TAN/19092017/2,P30,Tanga,Tanzania,19/09/2017,Company agent,traders,0,Tongoni,male,1,1,2 yrs,2,fresh,300-480kg,4800Tsh,4800,200,0.09,week,1560,9360,9.36,1872000,Fresh,120-240kg,4800Tsh,4800,200,week,720,4320,4.32,864000,Fishers,fishers,"Pemba, Tz",m,15,15,1,16,3 yrs,fresh,300kg,4300Tsh,4300,700,week,1200,7200,7.2,5040000,fresh,90-120kg,4500Tsh,4500,500,week,420,2520,2.52,1260000,6912000,2124000,31%,9036000," $3,083.39 ", $947.50 ," $4,030.89 ",23.4,Company (Tanpesca),big octopus,,,,5000Tsh. Rejects -2500Tsh,5000,fresh,5000Tsh. Rejects -2500Tsh,5000
Company agent,OA/TAN/18092017/2,P31,Tanga,Tanzania,18/09/2017,Company agent,traders,0,"Kwale, Monga, Boma and Vyeru",male,4,4, 1 for 10 years. 3 for 4 yrs.,5.5,fresh,500kg,4000Tsh,4000,1500,0.67,week,2000,12000,12,18000000,Fresh,200kg,5000Tsh,5000,500,week,800,4800,4.8,2400000,,none,,,,0,4,4,,,,,,,,,,,,,,,,,,,,,,18000000,2400000,13%,20400000," $8,029.66 "," $1,070.62 "," $9,100.28 ",16.8,Company (Tanpesca),big octopus,,,,5500Tsh,5500,,5500Tsh,5500
Company agent,OA/TAN/18092017/1,P32,Tanga,Tanzania,18/09/2017,Company agent,fishers ,1,Mkinga,male,btw 60-100,80,17 yrs,17,fresh,700kg,4700Tsh,4700,300,0.13,week,2800,16800,16.8,5040000,Fresh,300kg,5000Tsh,5000,0,week,1200,7200,7.2,0,,none,,,,80,0,80,,,,,,,,,,,,,,,,,,,,,,5040000,0,0%,5040000," $2,248.31 ", $-   ," $2,248.31 ",24,Company (Tanpesca),big octopus,,,,5000Tsh,5000,,5000Tsh,5000
Company agent,OA/TAN/19092017/1,P33,Tanga,Tanzania,19/09/2017,Company agent,fishers ,1,Pangani,male,40,40,8 yrs,8,fresh,500-600kg,4000-4500Tsh,4250,750,0.33,week,2200,13200,13.2,9900000,Fresh,100-150kg,4000-4500Tsh,4250,750,week,500,3000,3,2250000,,none,,,,40,0,40,,,,,,,,,,,,,,,,,,,,,,9900000,2250000,23%,12150000," $4,416.31 "," $1,003.71 "," $5,420.02 ",16.2,Company (Tanpesca),big octopus,,,,5000Tsh,5000,,5000Tsh,5000
Company agent,OA/TAN/18092017/3,P34,Tanga,Tanzania,18/09/2017,Company agent,fishers ,1,"Moa, Monga, Vyeru, Tongoni and Pangani",male,btw 10-20,15,2 yrs,2,fresh,600kg,4000Tsh,4000,500,0.22,week,2400,14400,14.4,7200000,Fresh,120kg,4000-4500Tsh,4250,750,week,480,2880,2.88,2160000,,none,,,,15,0,15,,,,,,,,,,,,,,,,,,,,,,7200000,2160000,30%,9360000," $3,211.86 ", $963.56 ," $4,175.42 ",17.28,Company (Tanpesca),big octopus,,,,4500Tsh,4500,,5000Tsh,5000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
